"","councils","years"
"1298","A624",1991
"1299","A624",1991
"1300","A624",1991
"1301","A624",1991
"1302","A624",1991
"1303","A624",1991
"1304","A624",1991
"1305","A624",1991
"1306","A624",1991
"1307","A624",1991
"1308","A624",1991
"1309","A624",1991
"1310","A624",1991
"1311","A624",1991
"1312","A624",1991
"1313","A624",1991
"1314","A624",1991
"1315","A624",1991
"1316","A624",1991
"1317","A624",1991
"1318","A624",1991
"1319","A624",1991
"1320","A624",1991
"1321","A624",1991
"1322","A624",1991
"1323","A624",1991
"1324","A624",1991
"1325","A624",1991
"1326","A624",1991
"1327","A624",1991
"1328","A624",1991
"1329","A624",1991
"1330","A624",1991
"1331","A624",1991
"1332","A624",1991
"1333","A624",1991
"1334","A624",1991
"1335","A624",1991
"1336","A624",1991
"1337","A624",1991
"1338","A624",1991
"1339","A624",1991
"1340","A624",1991
"1341","A624",1991
"1342","A624",1991
"1343","A624",1991
"1344","A624",1991
"1345","A624",1991
"1346","A624",1991
"1347","A624",1991
"1348","A624",1991
"1349","A624",1991
"1350","A624",1991
"1351","A624",1991
"1352","A624",1991
"1353","A624",1991
"1354","A624",1991
"1355","A624",1991
"1356","A624",1991
"1357","A624",1991
"1358","A624",1991
"1359","A624",1991
"1360","A624",1991
"1361","A624",1991
"1362","A624",1991
"1363","A624",1991
"1364","A624",1991
"1365","A624",1991
"1366","A624",1991
"1367","A624",1991
"1368","A624",1991
"1369","A624",1991
"1370","A624",1991
"1371","A624",1991
"1372","A624",1991
"1373","A624",1991
"1374","A624",1991
"1375","A624",1991
"1376","A624",1991
"1377","A624",1991
"1378","A624",1991
"1379","A624",1991
"1380","A624",1991
"1381","A624",1991
"1382","A624",1991
"1383","A624",1991
"1384","A624",1991
"1385","A624",1991
"1386","A624",1991
"1387","A624",1991
"1388","A624",1991
"1389","A624",1991
"1390","A624",1991
"1391","A624",1991
"1392","A624",1991
"1393","A624",1991
"1394","A624",1991
"1395","A624",1991
"1396","A624",1991
"1397","A624",1991
"1398","A624",1991
"1399","A624",1991
"1400","A624",1991
"1401","A624",1991
"1402","A624",1991
"1403","A624",1991
"1404","A624",1991
"1405","A624",1991
"1406","A624",1991
"1407","A624",1991
"1408","A624",1991
"1409","A624",1991
"1410","A624",1991
"1411","A624",1991
"1412","A624",1991
"1413","A624",1991
"1414","A624",1991
"1415","A624",1991
"1416","A624",1991
"1417","A624",1991
"1418","A624",1991
"1419","A624",1991
"1420","A624",1991
"1421","A624",1991
"1422","A624",1991
"1423","A624",1991
"1424","A624",1991
"1425","A624",1991
"1426","A624",1991
"1427","A624",1991
"1428","A624",1991
"1429","A624",1991
"1430","A624",1991
"1431","A624",1991
"1432","A624",1991
"1433","A624",1991
"1434","A624",1991
"1435","A624",1991
"1436","A624",1991
"1437","A624",1991
"1438","A624",1991
"1439","A624",1991
"1440","A624",1991
"1441","A624",1991
"1442","A624",1991
"1443","A624",1991
"1444","A624",1991
"1445","A624",1991
"1446","A624",1991
"1447","A624",1991
"1448","A624",1991
"1449","A624",1991
"1450","A624",1991
"1451","A624",1991
"1452","A624",1991
"1453","A624",1991
"1454","A624",1991
"1455","A624",1991
"1456","A624",1991
"1457","A624",1991
"1458","A624",1991
"1459","A624",1991
"1460","A624",1991
"1461","A624",1991
"1462","A624",1991
"1463","A624",1991
"1464","A624",1991
"1465","A624",1991
"1466","A624",1991
"1467","A624",1991
"1468","A624",1991
"1469","A624",1991
"1470","A624",1991
"1471","A624",1991
"1472","A624",1991
"1473","A624",1991
"1474","A624",1991
"1475","A624",1991
"1476","A624",1991
"1477","A624",1991
"1478","A624",1991
"1479","A624",1991
"1480","A624",1991
"1481","A624",1991
"1482","A624",1991
"1483","A624",1991
"1484","A624",1991
"1485","A624",1991
"1486","A624",1991
"1487","A624",1991
"1488","A624",1991
"1489","A624",1991
"1490","A624",1991
"1491","A624",1991
"1492","A624",1991
"1493","A624",1991
"1494","A624",1991
"1495","A624",1991
